item_id,title,pict_url,category,brand_id,seller_id
390,2014 秋装 新款 韩版 显 瘦 彩色铅笔裤 女装 夏 大码 弹力 小脚 休闲 长 裤子 潮 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1l2PLFHNXXXXXXXXX_!!0-item_pic.jpg,2-2,null,s23
280,黑色 显 瘦 大码打底裤 外 穿 韩版 修身 紧身 弹力 小脚 铅笔裤 九 分 高腰 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1Cnt8FtFzXXXXXXXX_!!0-item_pic.jpg,2-3,null,s24
456,2014 早秋 薄 外套 上 新款 春秋季 韩版 女装 潮 休闲 百搭小外套 长袖短外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1pWHeFVXXXXbVXXXXXXXXXXXX_!!0-item_pic.jpg,2-14,null,s25
475,RG 2014 男士 秋季 运动套装 潮流 卫衣   男 情侣 棒球服 套装 外套 男装 开衫 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1a00EGXXXXXbYXFXXXXXXXXXX_!!0-item_pic.jpg,1-16,b15,s26
528,圣 希 梵 男装 2014 秋装 新款   男士 长袖t恤 韩版 修身 圆领 纯棉打底衫 男 潮 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1t8BWGpXXXXa6XpXXXXXXXXXX_!!0-item_pic.jpg,1-7,b16,s27
199,2014 早秋 新款 套装 韩版 大码女装 两件套 长袖外套 修身 收腰 打底连衣裙 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1TT3RGXXXXXc1XpXXXXXXXXXX_!!0-item_pic.jpg,2-10,null,s28
332,2014 秋冬新款 女装 欧美风 毛呢短裤 女休闲裤 显 瘦 短裤 女裤 热裤 休闲裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1RLVqGFXXXXcIXpXXXXXXXXXX_!!0-item_pic.jpg,2-2,null,s29
211,2014 秋装 新款 彩色 糖果色铅笔裤 白色 大码 弹力   牛仔裤 女   小脚裤 长裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB16qAxGXXXXXcyXpXXXXXXXXXX_!!0-item_pic.jpg,2-4,b17,s30
316,Le   hondies 秋季 休闲 男士牛仔裤 大码 男装 直筒男裤 修身 秋冬 长 裤子 男 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1H3EsGXXXXXaUXFXXXXXXXXXX_!!0-item_pic.jpg,1-4,b18,s31
150,2014 新款 七彩 棉 打底裤 秋冬款 冬季 外 穿 女士 加厚 显 瘦 高腰 九 分 一体 裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1wtk_FVXXXXXCXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b19,s32
231,男装 纯棉 体恤 秋季 圆领打底衫 男 韩版 修身 青少年 衣服   男士 长袖t恤 潮 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1DNlfGFXXXXXpXpXXXXXXXXXX_!!0-item_pic.jpg,1-7,b20,s33
25,加绒 加厚打底裤 外 穿 秋冬 2014 新 女士 大码女装 高腰 棉裤 显 瘦 小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1Mc1fGpXXXXc0XVXXXXXXXXXX_!!0-item_pic.jpg,2-3,b21,s34
533,2014 秋季 韩版 新款   弹力 外 穿 高腰 打底裤 女 显 瘦   长裤 休闲 铅笔小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1MW1gFFJaXXXXXXXX_!!0-item_pic.jpg,2-3,null,s35
443,2014 秋装 新款 韩版 大码女装 潮 上衣   打底衫 女 长袖   白色 修身纯棉T恤 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1.b1YFVXXXXXGXpXXXXXXXXXX_!!0-item_pic.jpg,2-7,b22,s36
223,加绒 加厚 2014 秋冬新款 女士 外 穿 打底裤 九 分 长 裤子 大码 显 瘦 女装 小脚 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB16kceGpXXXXbBXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b23,s37
319,2014 秋 新款 女装打底衫 韩版 修身 大码 显 瘦 衬衫领 上衣 纯棉长袖t恤 女 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1jM2dFVXXXXaxXVXXXXXXXXXX_!!0-item_pic.jpg,2-7,b24,s29
202,秋装运动裤 女 小脚 哈伦 裤 女裤 韩版 潮 宽松 显 瘦 大码女装 休闲裤 长 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1XbjfFVXXXXclXVXXXXXXXXXX_!!0-item_pic.jpg,2-2,null,s38
526,2014 秋冬新款 白色 女 长裤 韩版 显 瘦 小脚 裤子 弹力铅笔裤 打底 休闲 加绒 ,http://img01.taobaocdn.com/bao/uploaded/i4/T17dSiFxlcXXXXXXXX_!!0-item_pic.jpg,2-2,null,s39
341,秋冬季 新款 韩版 显 瘦 黑色 小脚 铅笔裤 弹力牛仔裤 女装休闲裤 长裤 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1eFoUFBNbXXXXXXXX_!!0-item_pic.jpg,2-4,null,s40
203,霏 戈 秋装 男士 长袖衬衫 韩版 修身款 免烫 休闲 拼接 纯色 精纺 纯棉衬衣 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1ozNEGpXXXXcDXFXXXXXXXXXX_!!0-item_pic.jpg,1-9,b25,s41
73,2014 韩版 秋冬新款 大码女装 外套 中长款 加绒 加厚 上衣 连帽套头卫衣 女 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1k4ESFVXXXXcZXFXXXXXXXXXX_!!0-item_pic.jpg,2-17,null,s42
471,MUT 纯白色 男士衬衫   男 长袖 修身型 韩版 青年 免烫衬衣 休闲 伴郎 潮 秋装 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1gzhwGXXXXXbmXXXXXXXXXXXX_!!0-item_pic.jpg,1-9,b26,s43
349,特 贝 凡 西   短袖T恤 男 韩版 修身 男士 印花 半袖t恤 男 短袖 潮 夏装 男装T恤 ,http://img01.taobaocdn.com/bao/uploaded/i2/12867024482435985/T1tbSsXvXfXXXXXXXX_!!0-item_pic.jpg,1-7,b27,s44
525,秋冬新款 加绒 加厚休闲裤 男   韩版 纯棉直筒 修身 长 裤子 男装小脚裤 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1s6mvGXXXXXayXFXXXXXXXXXX_!!0-item_pic.jpg,1-2,b28,s45
259,秋冬款 女式牛仔裤 女装牛仔裤 深色 长裤 中腰 小脚 韩版 弹力 修身 显 瘦 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1KuSgFBBdXXXXXXXX_!!0-item_pic.jpg,2-4,null,s46
433,力维 格兰特 t恤 男长袖t恤 男 V领 打底衫 男士 长袖t恤   针织t恤衫 男   潮 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1g6LJGpXXXXaZXXXXXXXXXXXX_!!0-item_pic.jpg,1-7,b29,s47
200,2014 男士 长袖T恤   林 弯 弯 潮 男 秋装 新款 学生 上衣 修身 纯棉 韩版打底衫 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1wStEFVXXXXaoXXXXXXXXXXXX_!!0-item_pic.jpg,1-7,b9,s48
450,莫代尔 纯棉 平角打底裤 短 裤子 大码 防 走光 蕾丝 三 分 安全裤 女 厂家 批发 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1buNXFQXXXXXXXXXX_!!0-item_pic.jpg,2-3,b30,s49
50,修身女t恤 短袖 夏 常规 白色 纯棉 v领 体恤   纯 简约 女士打底衫 黑色 韩版 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1JIMUFFXXXXXVXpXXXXXXXXXX_!!0-item_pic.jpg,2-7,null,s50
91,美特斯邦威 2014 秋季 纯棉 潮 男士 长袖T恤 男装 印花 秋 衣服 男 韩版 秋装 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1rCueGXXXXXa7aXXXXXXXXXXX_!!0-item_pic.jpg,1-7,b31,s51
24,包邮 2014 秋装 新款 韩版 女士牛仔裤 长裤 女 裤子 小脚 铅笔裤 显 瘦 女装 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/T18nF1FwhaXXXXXXXX_!!0-item_pic.jpg,2-4,b32,s52
290,包邮 百搭 春秋 韩版修身针织衫 女装 中长款 外 搭 空调 开衫 长袖 防晒 外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1TXGnFMVbXXXXXXXX_!!0-item_pic.jpg,2-5,null,s53
103,2 件 包邮 莫代尔 纯棉 女 一 三 分 平角打底裤 蕾丝边 安全裤 防 走光 夏 大码 ,http://img01.taobaocdn.com/bao/uploaded/i1/10110021658141935/T1r0uaXvddXXXXXXXX_!!0-item_pic.jpg,2-3,null,s54
423,波斯龙 青年 牛仔裤 男 加绒 加厚 秋冬款 潮 修身 直筒 休闲 韩版 男装 长 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1nCZ8GpXXXXX2XVXXXXXXXXXX_!!0-item_pic.jpg,1-4,b33,s55
432,2014 新款 早 秋装女裤 韩版休闲裤 长裤 女 修身 显 瘦 裤子 女 小脚裤 铅笔裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1R7hWGXXXXXaLXVXXXXXXXXXX_!!0-item_pic.jpg,2-2,null,s56
550,雪纺衫 女 长袖秋装 新款 韩版 大码女装 娃娃领 加绒 打底衫 上衣 雪纺衬衫 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1GzeJFVXXXXalaXXXXXXXXXXX_!!0-item_pic.jpg,2-12,b34,s57
181,2014 秋装 新款 女装 韩版 潮流 百搭 修身 大码 打底衫 小 V领 显 瘦 长袖t恤 女 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1.4mjFX8eXXXXXXXX_!!0-item_pic.jpg,2-7,null,s58
256,nzk 男士牛仔裤   男   秋冬款 直筒 修身   长裤 黑色   加绒   青年 男装 男 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1qTdBGpXXXXaLXXXXXXXXXXXX_!!0-item_pic.jpg,1-4,b35,s59
196,2014 秋装外套 韩版 新款 修身 显 瘦 中长款 百搭 单排扣 女式 大码风衣 外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1BQX4GXXXXXbiXXXXXXXXXXXX_!!0-item_pic.jpg,2-20,b36,s60
122,秋冬季 加厚 2014 新 弹力仿牛仔 打底裤 女 外 穿 显 瘦 小脚 铅笔裤 春秋 薄款 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1JyUqFVXXXXalXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b37,s61
225,韩 范 加绒 浅色 秋季 紧身 修身弹力牛仔裤 女装 显 瘦 小脚 长裤 2014 新款 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1E4JhGXXXXXaPXXXXXXXXXXXX_!!0-item_pic.jpg,2-4,null,s62
477,2014 秋冬新款 韩版 紧身 大码 弹力铅笔裤 显 瘦 小脚裤 黑色打底裤 女 外 穿 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1Xi.CGXXXXXcyXpXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s63
228,汉森 鸟 春秋牛仔裤 女 韩版 潮 铅笔裤 显 瘦 修身 大码 牛仔女裤 长 小脚裤 女 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1RMN_FVXXXXb0XFXXXXXXXXXX_!!0-item_pic.jpg,2-4,b38,s64
85,秋装 新款 千鸟格 小脚裤 女 黑白 格子 女 九分裤 显 瘦 印花 外 穿 打底裤 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1iEfDFFXXXXXOXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s65
428,真 衣 坊 秋冬款 加绒 加厚男裤 青年 修身 直筒 休闲 韩版 长裤 nzk 牛仔裤 男 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1zoy3GXXXXXcdXFXXXXXXXXXX_!!0-item_pic.jpg,1-4,b39,s66
348,意 宾 纯棉 男士 长袖衬衫 男士 格子衬衫 法兰绒 磨毛 衬衫 男 修身男装 秋装 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB10yiHGpXXXXaPXFXXXXXXXXXX_!!0-item_pic.jpg,1-9,b40,s67
217,QCT   2014 春装 新款 秋冬 韩版 女装 宽松 休闲 打底 长袖 雪纺衬衫 上衣 衬衣 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1E5xfFVXXXXaMXXXXXXXXXXXX_!!0-item_pic.jpg,2-9,b41,s68
312,秋冬装 新款牛仔裤 女 秋 长裤 韩版 修身 弹力铅笔裤 大码 显 瘦 紧身小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i3/T14u8YFE8cXXXXXXXX_!!0-item_pic.jpg,2-4,b42,s69
171,2014 秋装 新款 韩版 大码女装 开衫 V领 短款 女 防晒 衫 毛衣 针织开衫 外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1KlLKFBlaXXXXXXXX_!!0-item_pic.jpg,2-5,null,s70
99,KAROHS   2014 秋装 新款 韩版 修身   潮   纯棉圆领长袖t恤   男   男装 打底衫 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1gf_TFFXXXXbMapXXXXXXXXXX_!!0-item_pic.jpg,1-7,b43,s71
532,韩国 秋冬季 莫代尔 纯棉打底裤 外 穿 加厚绒 女士 春 灰色 韩版 大码小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1FoBIGXXXXXasXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s72
506,2014 新款 夏装 韩版雪纺衫 女 长袖 韩版 蕾丝上衣 打底衬衫 休闲衬衣 女 潮 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1M9ZEFp4dXXXXXXXX_!!0-item_pic.jpg,2-12,null,s73
441,欧洲站 秋装 2014 新款时尚 哈伦 裤   女 排扣 小脚 休闲牛仔裤 宽松 长 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB17qiBFVXXXXbdXVXXXXXXXXXX_!!0-item_pic.jpg,2-4,b44,s74
313,2014 新款 外 穿 打底裤 女士 秋冬季 加大码 女装 加厚长裤 弹力 显 瘦 小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1HVJxGFXXXXaTXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b45,s75
424,蕾 伊 丝 2014 早秋 新款 天鹅绒运动套装 女 春秋装 金丝 休闲服 秋季卫衣 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1HxK2FVXXXXaEXXXXXXXXXXXX_!!0-item_pic.jpg,2-15,b46,s76
210,欧洲站 2014 早秋 新款 天鹅绒 春秋装 大码 卫衣 韩版 运动服 休闲套装 女装 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1UjTgFVXXXXcTXFXXXXXXXXXX_!!0-item_pic.jpg,2-15,b47,s77
459,吊带背心 女 打底衫 内搭 修身 大码 工字 无袖 纯棉 全棉 小 背心 针织吊带衫 ,http://img01.taobaocdn.com/bao/uploaded/i3/T1xyPFFIFXXXXXXXXX_!!0-item_pic.jpg,2-19,b48,s78
289,韩版 女装 宽松 大码 长袖t恤 女 打底衫 学生装 圆领 加绒 卫衣 女   秋冬外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1d_xHFAd3XXXXXXXX_!!0-item_pic.jpg,2-7,b49,s79
248,MOJAY 夏装 男装 亚麻 裤 男 棉麻裤 宽松 小脚 休闲裤 九分裤 男士 哈伦 裤 男 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1gcDhFq0cXXXXXXXX_!!0-item_pic.jpg,1-2,b50,s80
246,四季 经典 纯棉   Y 字   工字   吊带背心 女     背心 女   打底衫   小 背心   女装 ,http://img01.taobaocdn.com/bao/uploaded/i3/T16md8Fv0XXXXXXXXX_!!0-item_pic.jpg,2-19,null,s81
254,玛兰西卡   冬装 新 灯芯绒 格子 加绒 加厚 保暖衬衫   男士   长袖休闲衬衣 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1flnSGXXXXXbzXpXXXXXXXXXX_!!0-item_pic.jpg,1-9,b51,s82
149,泰 芝 郎 秋 衬衫 男 长袖 纯色 韩版 修身男装 拼接 牛仔 免烫 精纺 休闲衬衣 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1b2pKFsdIXXXXXXXX_!!0-item_pic.jpg,1-9,b52,s83
148,2014 秋装 新款 韩版 女装 学生 毛茸茸 百搭 棒球服 显 瘦 女士 小 开衫短外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB12uJQFVXXXXcDXVXXXXXXXXXX_!!0-item_pic.jpg,2-14,null,s84
350,2014 秋季 新款 韩版 纯棉 男装 长 裤子 修身型 直筒 小脚 大码 潮 男士休闲裤 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1mjmdFAFiXXXXXXXX_!!0-item_pic.jpg,1-2,b53,s85
206,冬季 高腰 加绒打底裤 外 穿 秋 2014 新款 女装 大码 加厚 保暖 一体 裤 黑 显 瘦 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1FyJoGFXXXXbOXpXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s86
435,韩版 2014 秋装 新款 大码女装 毛衣 女针织衫 女 开衫 春秋外套 女 宽松 披肩 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1_MTcFVXXXXcAXVXXXXXXXXXX_!!0-item_pic.jpg,2-5,null,s87
1,2014 秋冬款 绵羊皮皮衣 特价 男士皮衣 立领 修身 短款 真皮夹克 外套 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1y.iDGXXXXXcuXFXXXXXXXXXX_!!0-item_pic.jpg,1-1,b54,s88
543,2014 秋装 新款 大码女装 体恤 打底衫 韩版 修身 显 瘦 条纹 纯棉长袖t恤 女 ,http://img01.taobaocdn.com/bao/uploaded/i3/T1Cs0ZFX0aXXXXXXXX_!!0-item_pic.jpg,2-7,null,s89
481,秋冬新款 打底裤 女 韩版 长裤 大码 显 瘦 拉绒裤 连裤袜 九分裤 打底裤 901 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB15BcqFVXXXXXrXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s90
5,韩国代购 2014 秋装 显 瘦 高腰牛仔裤 女 小脚裤 铅笔裤 弹力 紧身 长裤 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1SqEdGXXXXXXlXFXXXXXXXXXX_!!0-item_pic.jpg,2-4,null,s91
464,2014 早秋 新款 韩版 女 初秋 新品 显 瘦 修身 外 穿 哈伦 休闲 长 裤子 小脚 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1F38hGXXXXXXHXXXXXXXXXXXX_!!0-item_pic.jpg,2-2,b36,s60
18,2014 秋装 新款 高腰牛仔裤 女 韩版   潮 显 瘦 小脚 铅笔裤 弹力 收腹 长 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1QJWPFVXXXXckXVXXXXXXXXXX_!!0-item_pic.jpg,2-4,b55,s92
14,韩国 高腰 半身裙子   秋冬 伞裙 a字裙 百褶裙 蓬 蓬 太空棉 中裙 超短裙 女 长 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1kOSzFy0aXXXXXXXX_!!0-item_pic.jpg,2-8,b56,s93
457,包邮   花花公子 男士纯棉背心   男   莱卡 紧身 运动 健身 打底 汗背心 男 夏 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1SofzFH0aXXXXXXXX_!!0-item_pic.jpg,1-21,b57,s94
389,秋装女装 新款 韩版 秋衣 女士 V领 宽松 长袖 大号 打底衫 女t恤 长款 春秋 潮 ,http://img01.taobaocdn.com/bao/uploaded/i3/T1VFO1FfJeXXXXXXXX_!!0-item_pic.jpg,2-7,null,s95
476,秋装 2014 新款 彩色铅笔裤 弹力 修身 显 瘦 休闲女裤   糖果色 小脚 长 裤子 ,http://img01.taobaocdn.com/bao/uploaded/i3/T1D2hhFFleXXXXXXXX_!!0-item_pic.jpg,2-2,b58,s96
414,中年 妈妈装 中老年 连衣裙 40 - 45 - 50 岁 修身 秋 大码女装 短袖 花裙子 夏装 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1nQJQFVXXXXaVXFXXXXXXXXXX_!!0-item_pic.jpg,2-10,null,s97
47,2014 早秋 新款 闺 蜜 姐妹装 韩版   t恤 大码女装 短袖 原宿 风 宽松 学生装 薄 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1Lw06Fy8lXXXXXXXX_!!2-item_pic.png,2-7,null,s98
224,秋装 韩版 女装 大码 打底小衫   长袖t恤 女 上衣 中长款 宽松外套 头 卫衣 女 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1bnBZFzpeXXXXXXXX_!!0-item_pic.jpg,2-7,null,s99
269,春秋款 外 穿 2014 新 假两件 打底裤 裙 裤子 薄款 女 秋冬 显 瘦 小脚 长裤 大码 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1kAhRGXXXXXXfXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b59,s100
191,吴娃 2014 新款 秋装 韩版 甜美 气质 大码女装 打底衫 潮 显 瘦 网纱 长袖T恤 ,http://img01.taobaocdn.com/bao/uploaded/i1/16812028052942249/T1K_m2Fi0cXXXXXXXX_!!0-item_pic.jpg,2-7,b60,s101
444,【 39.9 元 】 欧比森 冬季 加绒 加厚 男 长袖衬衫 精纺棉 商务 保暖 条纹衬衣 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1SyW.GpXXXXXUXXXXXXXXXXXX_!!0-item_pic.jpg,1-9,b61,s102
298,2014 新款 春秋装 女装 薄款 针织开衫 长款 披肩 宽松 大码 外套 空调 衫 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1AZ1gGXXXXXcBXpXXXXXXXXXX_!!0-item_pic.jpg,2-5,null,s103
